Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
8000,73.68071295107552,1749.3633,639.9272,567.818650457135,1623.5676974876476
8001,73.68071295107552,1780.2773,720.95935,930.1738956440379,930.1738956440379
8002,73.68071295107552,1804.4761,788.64374,827.5818583453755,827.5818583453755
8003,73.68071295107552,1821.9365,841.02075,830.5395166248854,830.5395166248854
8004,73.68071295107552,1828.2859,873.86414,784.1681313765748,784.1681313765748
8005,73.68071295107552,1828.6332,888.78784,1269.9996979838165,1269.9996979838165
8006,73.68071295107552,1819.2008,899.784,1323.4917586633944,1323.4917586633944
8007,73.68071295107552,1804.0072,902.91266,727.1707171955518,727.1707171955518
8008,73.68071295107552,1779.5801,903.8886,281.40661947028093,281.40661947028093
8009,73.68071295107552,1743.2416,908.24756,146.9455333425835,146.9455333425835
8010,73.68071295107552,1714.7714,904.7534,356.5242688364697,356.5242688364697
8011,73.68071295107552,1693.7046,901.7845,550.5821674126722,550.5821674126722
8012,73.68071295107552,1685.7943,892.09174,518.3541332270532,518.3541332270532
8013,73.68071295107552,1682.769,870.49457,450.5588916945102,450.5588916945102
8014,73.68071295107552,1695.1428,840.5291,493.973771920891,493.97377192089107
8015,73.68071295107552,1723.5559,814.21704,354.85497682316736,354.85497682316736
8016,73.68071295107552,1754.2762,785.681,583.6236641274737,583.6236641274737
8017,73.68071295107552,1804.5055,771.7086,555.8869661672455,555.8869661672455
8018,73.68071295107552,1818.4923,752.9308,154.53742207752128,154.53742207752128
8019,73.68071295107552,1824.5393,740.83716,103.5634577930612,103.56345779306122
8020,73.68071295107552,1828.5597,759.32184,130.41096445768838,130.41096445768838
8021,73.68071295107552,1832.012,794.5276,129.2234571555147,129.2234571555147
8022,73.68071295107552,1837.6805,841.3874,240.75651806859332,240.75651806859332
8023,73.68071295107552,1847.1422,891.1597,318.15172627769005,318.15172627769005
8024,73.68071295107552,1857.6552,925.49713,608.1513844868452,608.1513844868452
8025,73.68071295107552,1856.7628,949.55707,389.6376324281879,389.6376324281879
8026,73.68071295107552,1851.7374,952.3725,440.8420683060249,440.8420683060249
8027,73.68071295107552,1849.0693,952.4446,728.2321037820744,728.2321037820744
8028,73.68071295107552,1843.0522,938.7546,957.7604470554237,957.7604470554236
8029,73.68071295107552,1839.8069,915.9837,619.6615104567397,619.6615104567397
8030,73.68071295107552,1833.4172,899.3011,591.4014569033295,591.4014569033295
8031,73.68071295107552,1824.7249,878.9761,740.0961355368569,740.0961355368569
8032,73.68071295107552,1809.4542,869.0167,873.9368615876828,873.9368615876828
8033,73.68071295107552,1785.6161,879.9593,951.103752236098,951.103752236098
8034,73.68071295107552,1773.0532,898.1657,1166.1158012789274,1166.1158012789274
8035,73.68071295107552,1764.4792,915.24225,1280.8585815523852,1280.8585815523852
8036,73.68071295107552,1766.4996,937.3421,1236.7106840551626,1236.7106840551626
8037,73.68071295107552,1774.1769,947.18134,952.973772014448,952.9737720144478
8038,73.68071295107552,1790.4933,947.9644,816.713779030012,816.713779030012
8039,73.68071295107552,1817.7023,939.8798,767.4995277881446,767.4995277881446
8040,73.68071295107552,1845.4916,929.9056,693.2432827674969,693.2432827674969
8041,73.68071295107552,1883.566,925.3985,708.0716199451498,708.0716199451498
8042,73.68071295107552,1887.9999,909.45026,365.8224619601201,365.8224619601201
8043,73.68071295107552,1874.1364,872.3251,226.1266812966925,226.12668129669248
8044,73.68071295107552,1845.9338,832.34314,301.4925188731451,301.4925188731451
8045,73.68071295107552,1810.9111,784.0955,494.4550078401068,494.4550078401069
8046,73.68071295107552,1779.4501,738.5582,1417.8450165673569,1417.8450165673569
8047,73.68071295107552,1757.4656,711.77203,2411.747321429509,2411.7473214295096
8048,121.97935009362209,1740.1101,673.612,2674.8925630972212,2626.593925954675
8049,73.68071295107575,1726.4705,664.4884,2658.519974998813,2706.818612141359
8050,952.7133304170179,1719.3331,675.8985,3440.205449998286,2561.172832532344
8051,1274.940166127103,1722.8258,711.4109,3978.8896166725817,3656.662780962496
8052,2194.7792939511764,1725.7139,749.9384,3979.563600004284,3059.724472180211
8053,3769.9932143242268,1730.4308,782.9,3774.507972223594,2199.294051850544
8054,4172.975361445151,1730.9865,817.2474,3212.551982304358,2809.569835183433
8055,4317.878848775545,1724.891,843.6153,2841.869737894809,2696.966250564415
8056,3947.9611075567823,1708.4381,864.84863,2657.103472320968,3027.021213539731
8057,3072.584644525176,1680.0875,882.6115,2405.0592769844893,3280.4357400160957
8058,2764.090137234058,1655.4323,884.23816,2124.7261583364448,2433.2206656275625
8059,1438.8148482389042,1635.8794,878.7825,1832.2420035759155,3157.5172925710694
8060,73.68071295107575,1627.3209,868.55597,1679.4219638141562,3044.5560991019847
8061,73.68071295107552,1623.397,843.1151,1684.1371673589556,1684.1371673589558
8062,73.68071295107552,1629.8158,802.1319,1710.4699194456284,1710.4699194456284
8063,73.68071295107552,1642.2545,750.5819,1658.9363523798197,1658.9363523798197
8064,73.68071295107552,1664.2217,708.31635,1628.6369296648224,1628.6369296648224
8065,73.68071295107552,1702.2286,669.8087,1657.0273487149213,1657.0273487149213
8066,73.68071295107552,1707.1631,619.6198,1596.595757577506,1596.595757577506
8067,73.68071295107552,1700.496,561.05975,1698.6569487039706,1698.6569487039706
8068,73.68071295107552,1680.0002,503.64392,1781.2653333312658,1781.2653333312658
8069,73.68071295107552,1661.2578,469.43924,1734.6102333350666,1734.6102333350666
8070,73.68071295107552,1652.0708,469.0061,1645.757051864405,1645.757051864405
8071,73.68071295107552,1648.608,485.04935,1691.9024157431759,1691.9024157431759
8072,73.68071295107552,1655.4686,517.7483,1210.0897622288146,1210.0897622288146
8073,73.68071295107552,1656.9734,561.36316,775.1546311159453,775.1546311159453
8074,73.68071295107552,1657.2214,605.46136,719.2227928991329,719.2227928991329
8075,73.68071295107552,1661.2596,657.5262,717.7109698035497,717.7109698035497
8076,73.68071295107552,1664.6014,703.3566,847.7489592122812,847.7489592122812
8077,73.68071295107552,1666.2717,731.7295,956.6973427304666,956.6973427304667
8078,73.68071295107552,1662.8488,753.3775,1085.5330567635456,1085.5330567635456
8079,73.68071295107552,1652.5476,758.99915,933.5015677019783,933.5015677019783
8080,73.68071295107552,1631.871,754.5607,1030.4996830697332,1030.4996830697332
8081,73.68071295107552,1600.2054,748.61786,568.7740530349598,568.7740530349598
8082,73.68071295107552,1570.7771,728.81824,467.21572916848567,467.2157291684857
8083,73.68071295107552,1551.1819,717.30475,1174.7878611167332,1174.7878611167332
8084,73.68071295107552,1541.2609,704.07416,1415.5037142890787,1415.5037142890787
8085,73.68071295107552,1537.5673,679.08606,1239.5854358728454,1239.5854358728454
8086,73.68071295107552,1546.262,644.7545,1369.107761891484,1369.107761891484
8087,73.68071295107552,1566.6191,607.0762,1330.087403178997,1330.087403178997
8088,73.68071295107552,1599.0062,581.52637,750.9723737511034,750.9723737511034
8089,73.68071295107552,1648.2031,562.9029,564.4324014479222,564.4324014479222
8090,73.68071295107552,1665.1056,533.0619,765.3917298245414,765.3917298245414
8091,73.68071295107552,1671.0288,496.8689,459.23786520964586,459.23786520964586
8092,73.68071295107552,1663.8099,467.46838,359.68816665792775,359.68816665792775
8093,73.68071295107552,1654.7347,452.41214,496.36887034095633,496.3688703409564
8094,73.68071295107552,1649.5717,459.88858,618.2481726883813,618.2481726883813
8095,73.68071295107552,1647.9288,478.78,804.908220067215,804.908220067215
8096,73.68071295107552,1653.3765,508.34656,722.8537170484082,722.8537170484082
8097,73.68071295107552,1653.3845,548.5522,687.2969022753032,687.2969022753032
8098,73.68071295107552,1653.2806,590.3748,644.8157509423312,644.8157509423312
8099,73.68071295107552,1656.6382,638.8784,666.9513918190881,666.9513918190881
8100,73.68071295107552,1659.3427,681.5866,542.8648041897939,542.8648041897939
